Title,Author,ISBN,Pages,Category
Dizzy Gillespie Was At My Wedding,Dick Pearce,,,Biography
The 100 Year Old Man Who Climbed Out of The Window and Disappeared,Jonas Jonasson,,,Fiction
Sucker's Portfolio,Kurt Vonnegut,,,Fiction
Slaughterhouse Five,Kurt Vonnegut,,,Fiction
The Collini Case,Ferdinand von Schirach,,,Fiction
The Spectre of Alexander Wolf,Gaito Gazdanov,,,Fiction
Purified By Fire,Leslie Tarr,,,Fiction
The Farm,Tom Rob Ford,,,Fiction
1984,George Orwell,,,Fiction
The Goldfinch,Donna Tarrt,,,Fiction
Brand Anarchy,Waddington And Earl,,,Reference
Brand Vandals,Wadding And Earl,,,Reference
Love In The Time Of Cholera,Gabriel Garcia Marquez,,,Fiction
One Hundred Years of Solitude,Gabriel Garcia Marquez,,,Fiction
The Rise Of The Humans: How to Outsmart The Digital Deluge,Dave Coplin,,,Reference
Digital Disruption: Unleashing The Next Wave Of Innovation,James McQuivey,,,Reference
My Scotland: Our Britain,Gordon Brown,,,Reference
The Lewis Man,Peter May,,,Fiction
The Children Act,Ian Macewan,,,Fiction
A Child In Time,Ian Macewan,,,Fiction
All The Pretty Horses,Cormac McCarthy,,,Fiction
Raise Up Off Me,Hampton Hawes,,,Biography
Art: Why I Stuck With A Junkie Jazzman,Laurie Pepper,,,Biography
The Ghost Ship,John-Paul Cleary,,,Fiction
The Power and the Glory,Graham Greene,,,Fiction
Brighton Rock,Graham Greene,,,Fiction
The Beat Interviews,John Tytell,,,Reference
