Title,Author,ISBN,Pages,Category,Month Read
Jane Bown: A Lifetime of Looking,Jane Bown,978-1783350858,288,Photography,
The Third Policeman,Flann O'Brien,978-0007247172,240,Fiction,
Eyes Wide Open: How to Smart Decisions in a Confusing World,Noreena Hertz,978-0007564736,352,Reference,
Don McCullin (2015),Don McCullin,978-1910702017,360,Photography,
Kansas City Lightning,Stanley Crouch,978-0062005618,400,Biography,
London Life,Colin O'Brien,978-0957656956,288,Photography,
The Cowards,Josef Skvorecky,978-0141047676,416,Fiction,
A God In Ruins,Kate Atkinson,978-0552776646,576,Fiction,
Life After Life,Kate Atkinson , 978-0552776639,624,Fiction,
The Comedians,Graham Greene ,978-0099478379,320,Fiction,
Doorway to Eternity: A Photographic Pilgrimage,Ramon Dekkers and Arjen Van Der Kooij,978-1932771183,140,Photography,
Tinker Tailor Soldier Spy,John Le Carre,978-0143119784,400,Fiction,
A Whole Life,Robert Seethaler,978-1250141033,160,Fiction,
The Cellist Of Sarajevo,Steven Galloway,978-1594483653,235,Fiction,
Beautiful Britain,Iain McKell,978-3791347011,192,Photography,
Best Of Friends 5,Roger Maile,978-1873319338,144,Photography,
"Stags, Hens and Bunnies",Dougie Wallace,978-1905928118,98,Photography,
Camera Works (Complete),Alfred Steiglitz,978-3836544085,552,Photography,
Eve Arnold (Magnum Legacy),Janine Di Giovanni,978-3791349633,192,Biography,
Wilt,Tom Sharpe, 978-0099435488,336,Fiction,
Hotels of North America: A Novel,Rick Moody,978-0316178556,208,Fiction,
The Writer's Eye,William Dalrymple,978-9351779254,72,Photography,
Bergtatt Av Landet,Torleiv Tveit,978-8292579022,144,Photography,
Glasgow,Raymond Depardon,978-2021303629,112,Photography,
Golden Hill,Francis Spufford,978-0571225200,352,Fiction,
21 Stories,Graham Greene ,978-0099286165,208,Fiction,
The Mandibles,Lionel Shriver,978-0007560776,528,Fiction,
Deus Ex Machina,Ralph Gibson,978-3822866078,768,Photography,
Filling The Gaps,Tamas Bernath,na,56,Photography,
The Documentary Impulse,Stuart Franklin,978-0714870670,216,Reference,
Photofile,Bruce Gilden,978-0500411100,144,Photography,
The New Deal Photography: USA 1935 - 1943,Peter Walter,978-3836537117,608,Photography,
Why it does not have to be in focus.,Jackie Higgins,978-0500290958,224,Reference,
Nod,Adrian Barnes,978-1783298228,256,Fiction,
Plastic Cameras,Chris Gatcum,978-1907708404,192,Reference,
Dirt Road,James Kelman,978-1782118251,384,Fiction,
Dogs,Elliot Erwitt,978-3832792572,144,Photography,
Sweet Caress,William Boyd,978-1408867990,464,Fiction,
Reading,Mario Di Biasi,8881584433,87,Photography,
The Finkler Question,Howard Jacobsen,978-1408809938,384,Fiction,
Charleroi,Stefan Vanfleteren,978-9492081414,256,Photography,
All The Light We Cannot See,Anthony Doerr,978-0008138301,544,Fiction,
His Bloody Project,Graeme Macrae Burnet,978-1910192146,288,Fiction ,
Playing To The Gallery,Grayson Perry,978-0141979618,144,Reference,
Read This If You Want To Take Great Photographs Of People,Henry Carroll,978-1780676241,128,Reference,
The Sellout,Paul Beatty,978-1786071460,304,Fiction,
Light Box,KJ Orr,978-1907970740,168,Fiction,
On The Night Bus,Nick Turpin,978-1910566169,96,Photography,
Essays,George Orwell,978-0141183060,496,,
"Remember, Body ...",C. P. Cavafy,978-0-141-39746-7,64,Poetry,
The Reckoning,Edith Wharton,978-0-141-39756-6,64,Short Stories,
Astonishing the gods,Ben Okri,978-1784082550,176,Fiction,
