Title,Author,ISBN,Pages,Subject,Format,Month,Monthly pages,YTD Pages
The Promise,Damon Galgut,978-1784744069,304,Novel,A,November,,
Deja Vu,Martin Parr and the Anonymous Project,978-1914314148,144,Photography,H,November,,
London 1977-1987,Berris Connolly,978-1914314049,128,Photography,H,November,,
Fludd,Hilary Mantel,7172893,208,Novel,A,November,,
Penguin Book of Modern Short Stories,Malcolm Bradbury (ed),978-0241952863,448,Short Stories,K,November,,
Mrs Dalloway ,Virginia Woolf,978-1784870867,208,Novel,A,November,2064,22796
Flaubert's Parrot,Julian Barnes,978-0099540083,192,Novel,A,December,,
Mother Night,Kurt Vonnegut,978-0099819301,192,Novel,A,December,,
"God Bless You, Mr Rosewater ",Kurt Vonnegut,978-0099842804,192,Novel,A,December,,
Second Penguin Book of English Short Stories,various ,978-0241955437,320,Short Stories,K,December,,
Practice Makes Profit,Graham Scott,978-0473607555,98,Non Fiction,K,December,,
Double Drink Story,Caitlin Thomas,1860495605,176,Non Fiction,H,December,,
Blue Beard,Kurt Vonnegut,978-0008264338,256,Novel,A,December,,
A Life In Photography,Marilyn Stafford,9781908457707,240,Photography,H,December,,
The Bell Jar,Sylvia Plath,978-0571081783,240,Novel,K,December,,
Chomsky on Anarchism ,Noam Chomsky,978-0241969601,192,Non Fiction,A,December,,
The Living Mountain ,Nan Shepherd ,978-1786897350,176,Non Fiction,A,December,,
The Impostor,Damon Galgut,978-1782396284,224,Novel,K,December,,
A Toast To The Old Stones,Denzil Meyrick,978-1846975943,158,Novel,H,December,,
Thick,Tressie McMillan Cottom,978-1620975879,256,Non Fiction,A,December,2912,25708
